5698,2
5699,2
5700,10
5704,8
5707,1
5709,8
5710,8
5717,63
5718,63
5719,63
5720,1
5722,336
5730,302
5733,1
5735,109
5736,1
5737,302
5738,1
5739,1
5740,1
5745,589
5746,589
5748,9
5749,589
5750,589
5822,9
5824,589
5825,972
5830,972
5833,973
5834,973
5837,1213
5838,1213
5839,1213
5840,1213
5842,1548
5845,1728
5848,1728
5849,2016
5856,2160
5859,2304
5860,2304
5861,2304
5862,2304
5864,2304
5865,2304
5868,2447
5870,2447
5871,2447
5872,2447
5873,2447
5874,1
5876,2447
5878,2447
5880,2543
5882,2543
5883,2543
5885,2543
5887,2543
5919,1
5920,1
5928,1
5929,1
5930,51
5932,1
5933,1
5934,589
5940,1345
5942,1345
5944,2543
5946,1345
5950,2160
5952,2304
5954,2304
5956,1
5958,2304
5960,2304
5962,2447
5963,2543
5965,2543
5966,2543
5970,2543
5971,2543
5974,2543
5976,2543
5979,2543
5980,1271
5984,2543
5985,9
6001,1
6005,1
6006,1
6009,25
6012,25
6014,1
6015,32
6016,32
6018,591
6019,591
6020,2543
6021,2543
6024,2543
6026,2543
6030,2543
6031,2543
6033,2543
6034,2543
6035,2543
6036,9
6039,2543
6041,2543
6044,2543
6046,2543
6047,2543
6048,2543
6050,2543
6052,2543
6053,2543
6054,2543
6055,2543
6057,2543
6060,2543
6061,2543
6064,2543
6065,1247
6066,1
6072,589
6073,1213
6079,589
6082,972
6084,1151
6086,1343
6089,1343
6090,1535
6091,1727
6092,1
6093,1727
6094,1727
6096,1727
6097,1727
6098,1919
6101,1
6104,1535
6105,1727
6106,1727
6109,145
6110,1727
6114,1727
6116,1727
6119,1631
6122,1
6123,2207
6130,2
6132,2
6136,972
6138,1151
6140,1535
6141,1537
6142,1537
6143,1537
6146,1537
6147,1537
6152,1151
6153,1535
6155,1151
6156,1151
6158,1151
6159,1343
6160,1343
6161,1537
6164,1343
6165,1151
6167,1119
6168,1343
6169,1567
6170,1735
6171,1908
6173,901
6174,1908
6175,1908
6176,1908
6177,1908
6179,1908
6180,1908
6181,1908
6182,1908
6183,1908
6184,1908
6185,1908
6186,1908
6189,1908
6191,1909
6192,1908
6193,1908
6194,211
6195,124
6199,2
6200,2
6201,1
6216,165
6217,2
6226,1
6227,1
6228,2
6230,1
6231,1
6232,1
6233,1
6236,51
6238,674
6239,1346
6240,1908
6241,1908
6243,1908
6245,1908
6247,1908
6252,1908
6253,1908
6255,1908
6256,1908
6257,1908
6258,1908
6259,1908
6260,1908
6261,1908
6262,1908
6263,1908
6266,1823
6268,1823
6269,1823
6271,1823
6272,1823
6275,1866
6276,1866
6278,1866
6279,1866
6283,1866
6284,1866
6285,1866
6287,1866
6288,1866
6289,1866
6290,1866
6291,1866
6293,9
6294,8
6295,8
6296,16
6297,1866
6298,1866
6300,1866
6302,1
6303,1866
6304,1866
6305,1866
6306,1866
6307,1866
6308,1866
6309,1866
6311,1866
6312,1866
6313,1866
6314,1866
6315,1866
6316,1866
6317,1866
6318,1866
6321,1866
6323,1866
6324,1866
6325,1866
6336,140
6337,1866
6341,1866
6343,1866
6344,1866
6346,1866
6347,1866
6348,1866
6349,1866
6351,1866
6353,1
6355,1866
6356,1866
6358,1866
6360,1866
6362,1866
6363,11
6364,1866
6370,1866
6371,1866
6374,1
6376,1
6377,2
6380,22
6381,512
6382,1279
6384,1279
6385,1827
6386,1823
6387,1823
6388,1823
6389,1823
6390,1823
6392,1823
6394,1
6395,1
6396,1279
6397,1535
6398,1535
6399,1535
6402,2
6404,644
6405,1866
6411,1866
6413,1866
6415,1866
6417,1866
