Timestamp,B1_H_L,B1_V_L,B1_H_R,B1_V_R,B2_H_L,B2_V_L,B2_H_R,B2_V_R
1449134047,-1.7207449487189237,-1.9512510739494198,6.178161550567371,2.4051616358027608,-16.243645634433864,-7.784767125133988,8.115929561416117,5.73475253657184
1449134050,-1.8119156300405783,-2.1886513871565043,6.1531910238457455,2.403680990259284,-16.280953143307837,-7.857225931890158,8.072535151526965,5.739635671401567
1449134053,-1.7843497042039984,-2.1795308827726156,6.185905144002173,2.4205275191731213,-16.12189775490066,-7.8760298624281715,8.212541586672161,5.613030853661635
1449134056,-1.6051285215488718,-2.2072316886250256,6.198382005061716,2.35290917880322,-16.263951788424794,-7.9687980867606845,8.123557358570789,5.581334614224844
1449134059,-1.7060012071792954,-2.3158994761844776,6.183949605326811,2.5130623517683293,-16.281472791808028,-7.771604896279608,8.189255449715317,5.669763773529732
1449134062,-1.4452848234111204,-2.073036345835668,6.258500904250286,2.4776049569299183,-16.272539659024407,-7.8515953682695,8.119011738755601,5.6415137270404685
1449134065,-1.6365666424770664,-2.1495416203044657,6.209438759930432,2.342097031308493,-16.1907566990872,-7.929427806480059,8.141131405406767,5.675933228403507
1449134068,-1.5660998369893235,-2.294698089623488,6.239334364077433,2.3562243822295024,-16.208938389470582,-7.896059157474518,8.019679306327678,5.601592836237172
1449134071,-1.6661098496454192,-2.4059255853060684,6.215427244016968,2.413378385607195,-16.14706726095948,-7.913918499284207,7.944333745661509,5.555601446413973
1449134074,-1.5456456846634283,-2.398035809594664,6.273699233541653,2.4192632481835106,-16.03805004191991,-7.96120553663413,8.04217773701671,5.513818429675188
1449134077,-1.518274405993329,-2.2477693220019512,6.266952500785452,2.401004585033101,-16.310756237151903,-7.827182484977557,7.9103667214616475,5.604475233345768
1449134080,-1.594516438638249,-2.277944245409409,6.3044270753784195,2.4311596634225987,-16.216429008657958,-7.940927796373121,8.013324886249102,5.4117529113028535
1449134083,-1.688670169598738,-2.31658063992291,6.2635872928349725,2.43609080411089,-16.170320902330438,-7.759232158131334,8.125777743963267,5.4555602136778845
1449134086,-1.6219330839114732,-2.2073749035464587,6.270025951450722,2.513296208853609,-16.203138565890693,-7.840255233172903,8.110050312311603,5.337504374846422
1449134089,-1.6061494188343843,-2.3457594473006216,6.383410010629986,2.486139810054151,-15.977457116091893,-7.853919101004709,8.106754633231283,5.307213239200205
1449134092,-1.9560982425500777,-2.3839994286848323,6.134409237075472,2.3956818665649857,-16.227776340725278,-7.850686549216857,7.99743227377938,5.1620535810358685
1449134095,-1.7614207141384344,-2.407994271267829,6.233254259700555,2.300573154305926,-16.138169120514213,-7.923528488421678,8.139248468628614,5.168524595047106
1449134098,-1.8506926520113016,-2.267260226229313,6.326317247356365,2.3412551543464573,-16.01700539495176,-7.9386869233973565,8.147454185892919,5.188999964126789
1449134101,-1.8348590644918268,-2.1378301383208496,6.233819651903932,2.325209936915651,-16.126271867008306,-7.975333179184999,8.140323793903585,5.208903070848754
1449134104,-2.026437870277111,-2.0729815201973456,6.320821163024745,2.3948789601801153,-16.19063625006047,-8.050784400834896,8.264409541560353,5.295651148716217
1449134107,-2.139736230112137,-1.981065161158717,6.332205005298097,2.4660647057500564,-16.28939960030647,-7.782167227344573,8.295702171910364,5.330889387358535
1449134110,-2.3025783223194063,-2.216479274013909,6.3059528685682364,2.4005505472273265,-16.445998503206724,-7.7706179625169565,8.401756892522839,5.273372148285562
1449134113,-2.31040994333817,-2.2502387595236164,6.434673215136628,2.3913207411273403,-16.45992254615266,-7.777064031282411,8.376798204886004,5.3968600074333155
1449134116,-2.3288951620009857,-2.1382882649471533,6.3016875325958255,2.3920241715112756,-16.477544961753967,-7.72756337821754,8.365052383984121,5.446336075354493
1449134119,-2.340254116107212,-2.0728082685929894,6.201135810953599,2.587726558789035,-16.594376402749063,-7.853712732447122,8.34956708326424,5.441520757484584
1449134122,-2.184515561301654,-2.0196941745624817,6.294345922341528,2.5465225992325915,-16.37821625149762,-7.541583451105112,8.486877024529065,5.636005400584218
1449134125,-2.180430895210528,-2.10420379160446,6.301512226546471,2.5064786464113027,-16.3841537076758,-7.647474315872363,8.415320302745679,5.614280309364463
1449134128,-2.187976222822416,-2.0648632932398483,6.216728570123812,2.457466570125937,-16.495603151127025,-7.698561713947996,8.255206416136652,5.632274226755516
1449134131,-2.0734722665372534,-1.906520646306073,6.264647300090389,2.5800314919416807,-16.475195984022314,-7.830949080980267,8.408272876299353,5.5575110731005495
1449134134,-1.9164202152758516,-2.2058795459692027,6.2422999173930585,2.5411094823849028,-16.514046982932165,-7.5556633432414495,8.397887556489856,5.6551491055450205
1449134137,-1.9278858310506648,-2.1212623702299065,6.372655739323728,2.487914615022488,-16.458137512820663,-7.6322329332817045,8.30035864271981,5.642311687719822
1449134140,-1.9558791844246424,-1.9369067861229028,6.3607758850056975,2.5010334316803187,-16.39592817361451,-7.711963641385509,8.2383940939109,5.5341057847581645
1449134143,-1.7751059478138018,-2.094771601138965,6.513222949680494,2.5347164967551743,-16.44720870023097,-7.7442616107324564,8.301426616764806,5.782994532396934
1449134146,-1.8453754941883636,-1.9332347497869904,6.401785483004709,2.5606823673550267,-16.42127865968472,-7.813250976308883,8.259490032331085,5.540433754976096
1449134149,-1.8201458351011133,-1.999055065255226,6.406790279882197,2.3866195490206947,-16.461654838695733,-7.729687960198342,8.235551856151005,5.393785043557063
1449134152,-1.7857159312119233,-2.0891367257221534,6.31170268453109,2.5159267938955168,-16.33685967873738,-7.7954551283872515,8.215440219418559,5.291232911709039
1449134155,-1.7290783851380942,-1.9554341944541451,6.330830679199599,2.4057618204193636,-16.29119419700034,-7.749270076895843,8.249135338730456,5.319522014859264
1449134158,-1.7364411678836449,-2.001836127100544,6.367395894694207,2.357576445667044,-16.295506924187432,-7.796797948754642,8.03084533066933,5.236844532483827
1449134161,-1.5733148104676744,-2.0394063824763253,6.4288706049414035,2.4089155481060747,-16.398138186772908,-7.855192645441733,8.20287082617369,5.289575842923264
1449134164,-1.4101423399592004,-1.9200909362156535,6.484648597412607,2.448681860483442,-16.335528008408414,-7.877318151087474,8.135825816660043,5.205506751142088
1449134167,-1.5001725144857079,-2.0852244181885298,6.500870239009797,2.467163921537252,-16.274053903191813,-7.829811500520843,8.079460251000611,5.357943253418908
1449134170,-1.46761704921186,-2.0970256887815593,6.600278237470761,2.4098660579322564,-16.21950677182361,-7.7362657598610785,8.207946002595925,5.294059974230229
1449134173,-1.5365722132470252,-2.1326011726401277,6.546769026075782,2.3915736887614325,-16.223165881075822,-7.830068996002116,8.257706393567997,5.2329429576892945
1449134176,-1.6345927922099488,-2.1776178083250617,6.470875141803097,2.382305270951992,-16.272104728765793,-7.838793209425784,8.326126175356633,5.220101012729772
1449134179,-1.7781235302336684,-2.2049309300938025,6.297690038553357,2.4296878941459026,-16.302821799228855,-7.859758013951787,8.289284018902713,5.332040357569079
1449134182,-1.5524973455388709,-2.078313581632317,6.448266662677959,2.339114212853933,-16.247022225928145,-7.864772032630054,8.329362407900268,5.3483847570659035
1449134185,-1.5499140304158592,-2.195769932725911,6.474692777278758,2.3028493310536238,-16.426417167513048,-8.023113878828166,8.557122785901319,5.6225635418369695
1449134188,-1.4401906995143992,-2.021181706239844,6.4475066154237926,2.496488056098523,-16.17122371631844,-8.0614342357365,8.86232096179451,5.744187084403906
1449134191,-1.6081316103001249,-1.9991059092662813,6.3721740001585845,2.4431449502661557,-15.954632094500306,-8.018268876100223,9.002682302863974,5.761579209632673
1449134194,-1.686133514053261,-2.1051009790094763,6.289310367841022,2.1072551176085823,-15.89217527438128,-8.073354811941396,8.825989204466644,5.818587338757491
1449134197,-1.541643477097359,-1.9754987886873179,6.329503495091628,2.1894381759928905,-15.84624109572144,-8.1039944315253,8.96779510669516,5.927423533541349
1449134200,-1.4832764607869031,-1.9599242450915129,6.396222622178953,2.379545793780382,-15.826582534945667,-8.20635236459266,9.035620843852255,5.81734865177986
1449134203,-1.6087758755876844,-2.1672346927619026,6.338974671642902,2.113490368600329,-15.848735112370287,-8.068773180568499,8.927632461131072,5.844717116254146
1449134206,-1.7316300364228023,-2.048744778043849,6.258793274445847,2.21071253827026,-15.97788004866075,-8.142429165618546,8.89158361339306,5.957546205462528
1449134209,-1.748910940851787,-1.9281802660219929,6.307354229552589,2.455477927644374,-15.849964689470196,-8.13358514095288,8.825406384496507,5.637899019541982
1449134212,-1.576314487604945,-2.1608335103454466,6.417437459943148,2.1782989449913988,-15.83290688247561,-8.158259568736893,8.77062495356104,5.726729274393245
1449134215,-1.6922137715148853,-1.9335376636391048,6.426084633884941,2.250775827595064,-16.081014401581974,-8.113037904946475,8.513077294324939,5.705411970765099
1449134218,-1.7801364149361232,-1.9381219302054893,6.4195009677543835,2.2452741347404257,-16.169460355897137,-8.147649571274084,8.305879063774201,5.663472700038704
1449134221,-1.7120933782574952,-1.9959752002695776,6.571379763115875,2.2174302874146985,-16.143970951207052,-8.109145545255885,8.305689000094691,5.5813289104531565
