#timestamp_start,timestamp_end,correction_x,correction_y
1464336285.0,1464336313.0,0.01858795987780041,0.034659144195519354
1464336324.0,1464336353.0,-0.04263687118126272,0.09847349389002039
1464336364.0,1464336393.0,-0.104636700101833,0.1630956201629328
1464336404.0,1464336432.0,-0.16586153116089614,0.22690996985743384
1464336444.0,1464336471.0,-0.22708636221995931,0.29072431955193484
1464336483.0,1464336512.0,-0.2890861911405295,0.35534644582484726
1464336522.0,1464336552.0,-0.35031102219959265,0.41916079551934826
1464336563.0,1464336591.0,-0.4123108511201629,0.48378292179226073
1464336603.0,1464336630.0,-0.4735356821792261,0.5475972714867617
1464336643.0,1464336671.0,-0.5363105089613035,0.6130271743380855
1464336681.0,1464336710.0,-0.5959853442973523,0.6752259708757637
1464336723.0,1464336753.0,-0.6618601625254582,0.7438869800407333
1464336763.0,1464336792.0,-0.7199040091463415,0.8041293170731708
1464336804.0,1464336831.0,-0.6970775863821138,0.7734977723577237
1464336843.0,1464336871.0,-0.674536493902439,0.7432491219512195
1464336882.0,1464336911.0,-0.6519954014227642,0.7130004715447155
1464336922.0,1464336951.0,-0.6291689786585366,0.6823689268292683
1464336962.0,1464336990.0,-0.6066278861788618,0.6521202764227643
1464337002.0,1464337029.0,-0.5840867936991869,0.6218716260162602
1464337041.0,1464337070.0,-0.5612603709349593,0.591240081300813
1464337080.0,1464337110.0,-0.5387192784552846,0.5609914308943089
1464337121.0,1464337149.0,-0.5158928556910569,0.5303598861788619
1464337160.0,1464337190.0,-0.4930664329268293,0.4997283414634146
1464337200.0,1464337229.0,-0.4705253404471545,0.4694796910569106
1464337239.0,1464337268.0,-0.44826957825203256,0.4396139349593496
1464337522.0,1464337550.0,1.85399892494929,1.5283896186612578
1464337561.0,1464337589.0,1.7266330730223125,1.4278521277890468
1464337601.0,1464337630.0,1.5943685344827587,1.3234478103448277
1464337641.0,1464337670.0,1.4637368914807303,1.2203324350912779
1464337681.0,1464337710.0,1.3331052484787018,1.1172170598377282
1464337721.0,1464337749.0,1.204106501014199,1.015390626774848
1464337761.0,1464337790.0,1.071841962474645,0.9109863093306287
1464337800.0,1464337829.0,0.9444761105476673,0.8104488184584179
1464337841.0,1464337870.0,0.8105786764705882,0.7047555588235294
1464337880.0,1464337909.0,0.6832128245436107,0.6042180679513185
1464337921.0,1464337949.0,0.5509482860040567,0.4998137505070994
1464337960.0,1464337988.0,0.4235824340770791,0.39927625963488844
1464338001.0,1464338029.0,0.289685,0.293583
1464338041.0,1464338068.0,0.36062675963488844,0.43281184685598373
1464338081.0,1464338109.0,0.43336451318458424,0.5755654746450304
1464338121.0,1464338150.0,0.50610226673428,0.718319102434077
1464338161.0,1464338189.0,0.5770440263691684,0.8575479492900608
1464338201.0,1464338228.0,0.6479857860040569,0.9967767961460445
1464338240.0,1464338269.0,0.719825542596349,1.1377680334685598
1464338281.0,1464338309.0,0.7925632961460447,1.2805216612576065
1464338320.0,1464338349.0,0.8635050557809332,1.4197505081135902
1464338361.0,1464338389.0,0.936242809330629,1.5625041359026368
1464338400.0,1464338430.0,1.0080825659229211,1.703495373225152
1464338440.0,1464338469.0,1.0790243255578096,1.8427242200811358
1464338479.0,1464338508.0,1.1490680882352942,1.980190676470588
1464338769.0,1464338798.0,2.1449537854251015,2.1841207257085022
1464338810.0,1464338839.0,2.165096902834008,2.03194208805668
1464338851.0,1464338880.0,2.185240020242915,1.8797634504048584
1464338890.0,1464338919.0,2.2044005465587047,1.7350081609311743
1464338931.0,1464338960.0,2.2245436639676113,1.5828295232793523
1464338970.0,1464338999.0,2.2437041902834007,1.438074233805668
1464339011.0,1464339039.0,2.2636016599190283,1.2877514331983806
1464339050.0,1464339078.0,2.2827621862348177,1.1429961437246965
1464339090.0,1464339119.0,2.3026596558704453,0.9926733431174091
1464339129.0,1464339158.0,2.3218201821862348,0.847918053643725
1464339170.0,1464339199.0,2.3419632995951414,0.695739415991903
1464339209.0,1464339238.0,2.361123825910931,0.5509841265182187
1464339248.0,1464339277.0,2.3802843522267203,0.4062288370445346
1464339289.0,1464339317.0,2.4690474089068823,0.541158991902834
1464339328.0,1464339358.0,2.557564817813765,0.6779449838056679
1464339369.0,1464339398.0,2.647188694331984,0.8164408006072874
1464339409.0,1464339438.0,2.7357061032388663,0.9532267925101213
1464339449.0,1464339479.0,2.8253299797570848,1.091722609311741
1464339489.0,1464339518.0,2.9127409210526314,1.2267987763157895
1464339530.0,1464339557.0,3.0012583299595144,1.3635847682186233
1464339569.0,1464339598.0,3.089775738866397,1.5003707601214575
1464339610.0,1464339637.0,3.1782931477732794,1.6371567520242913
1464339649.0,1464339678.0,3.266810556680162,1.7739427439271256
1464339688.0,1464339717.0,3.3531150303643726,1.9073090860323885
1464339728.0,1464339757.0,3.441632439271255,2.0440950779352223
1464339948.0,1464339977.0,4.526185967413442,2.9389490733197556
1464339987.0,1464340016.0,4.226332362525458,2.8936796843177186
1464340028.0,1464340056.0,3.9149459266802444,2.84666916496945
1464340067.0,1464340096.0,3.6112480448065174,2.800819399185336
1464340108.0,1464340136.0,3.2998616089613035,2.753808879837067
1464340147.0,1464340176.0,2.9961637270875765,2.707959114052953
1464340187.0,1464340216.0,2.688621568228106,2.661528971486762
1464340227.0,1464340255.0,2.384923686354379,2.6156792057026474
1464340267.0,1464340294.0,2.0812258044806518,2.5698294399185335
1464340306.0,1464340335.0,1.773683645621181,2.5233992973523423
1464340345.0,1464340375.0,1.469985763747454,2.4775495315682283
1464340385.0,1464340414.0,1.1662878818737274,2.431699765784114
