sec,LHC.BPM.1L5.B1_DOROS:POS_H,LHC.BPM.1L5.B1_DOROS:POS_V,LHC.BPM.1L5.B2_DOROS:POS_H,LHC.BPM.1L5.B2_DOROS:POS_V,LHC.BPM.1R5.B1_DOROS:POS_H,LHC.BPM.1R5.B1_DOROS:POS_V,LHC.BPM.1R5.B2_DOROS:POS_H,LHC.BPM.1R5.B2_DOROS:POS_V
1543463700,-2.8272,-1.5228,4.0351,-1.482,3.5104,-1.7624,-3.709,-1.9134
1543463701,-2.8306,-1.5228,4.0317,-1.4821,3.5138,-1.7624,-3.7056,-1.9135
1543463702,-2.8342,-1.523,4.0293,-1.4818,3.5173,-1.7622,-3.7032,-1.9136
1543463703,-2.8342,-1.5234,4.0307,-1.4816,3.5173,-1.7619,-3.7045,-1.9142
1543463704,-2.8316,-1.5234,4.0333,-1.4814,3.5146,-1.7618,-3.7069,-1.9143
1543463705,-2.8289,-1.5233,4.0351,-1.4813,3.5119,-1.762,-3.7088,-1.9143
1543463706,-2.8277,-1.5224,4.0364,-1.4811,3.5108,-1.7627,-3.71,-1.9147
1543463707,-2.8277,-1.5222,4.0363,-1.4812,3.5105,-1.7629,-3.7099,-1.9143
1543463708,-2.8274,-1.5223,4.0357,-1.4814,3.5102,-1.7627,-3.7095,-1.9143
1543463709,-2.8267,-1.5223,4.0362,-1.4813,3.5096,-1.7628,-3.7104,-1.9142
1543463710,-2.8265,-1.5227,4.0361,-1.4811,3.5095,-1.7625,-3.7101,-1.9145
1543463711,-2.8261,-1.5227,4.0359,-1.4816,3.5091,-1.7625,-3.71,-1.9139
1543463712,-2.8262,-1.5229,4.0365,-1.4814,3.5091,-1.7622,-3.7107,-1.9139
1543463713,-2.8271,-1.5233,4.0361,-1.4814,3.51,-1.7618,-3.7099,-1.9143
1543463714,-2.827,-1.5234,4.0355,-1.4816,3.5099,-1.7616,-3.7092,-1.9141
1543463715,-2.8267,-1.5234,4.0357,-1.4816,3.5098,-1.7616,-3.7094,-1.914
1543463716,-2.8271,-1.5233,4.0356,-1.4821,3.5103,-1.7618,-3.7094,-1.9134
1543463717,-2.8276,-1.5234,4.0359,-1.482,3.5108,-1.7615,-3.7098,-1.9135
1543463718,-2.828,-1.5241,4.0367,-1.4822,3.5111,-1.7609,-3.7106,-1.9133
1543463719,-2.8284,-1.5244,4.0366,-1.4818,3.5117,-1.7604,-3.7107,-1.9136
1543463720,-2.828,-1.5244,4.0358,-1.4812,3.5111,-1.7605,-3.7099,-1.9141
1543463721,-2.8278,-1.5239,4.035,-1.4813,3.5109,-1.7611,-3.7088,-1.9143
1543463722,-2.8282,-1.5234,4.0347,-1.4812,3.5113,-1.7614,-3.7084,-1.9144
1543463723,-2.8272,-1.5235,4.0352,-1.4818,3.5102,-1.7615,-3.7091,-1.9137
1543463724,-2.8259,-1.5236,4.0358,-1.4821,3.509,-1.7613,-3.7097,-1.9133
1543463725,-2.826,-1.5236,4.036,-1.4821,3.509,-1.7614,-3.7097,-1.9134
1543463726,-2.8269,-1.5234,4.0357,-1.4823,3.5099,-1.7616,-3.7094,-1.9132
1543463727,-2.8276,-1.5235,4.0353,-1.4821,3.5107,-1.7613,-3.7091,-1.9134
1543463728,-2.8282,-1.5239,4.035,-1.4817,3.5114,-1.7608,-3.7088,-1.9139
1543463729,-2.8281,-1.5243,4.0351,-1.4817,3.5112,-1.7606,-3.7093,-1.9137
1543463730,-2.8282,-1.5244,4.0353,-1.4819,3.5113,-1.7605,-3.7094,-1.9136
1543463731,-2.828,-1.5244,4.0349,-1.4821,3.5111,-1.7603,-3.7087,-1.9133
1543463732,-2.8281,-1.5244,4.0345,-1.4825,3.5111,-1.7603,-3.7085,-1.9132
1543463733,-2.8284,-1.5242,4.0344,-1.4823,3.5114,-1.7606,-3.7085,-1.9131
1543463734,-2.828,-1.5244,4.0341,-1.4817,3.5111,-1.7603,-3.7082,-1.9137
1543463735,-2.8286,-1.5247,4.0342,-1.4815,3.5116,-1.76,-3.7081,-1.914
1543463736,-2.828,-1.5248,4.0356,-1.4816,3.5111,-1.7598,-3.7095,-1.9139
1543463737,-2.8279,-1.5248,4.0353,-1.4814,3.511,-1.7598,-3.7093,-1.9139
1543463738,-2.8285,-1.5247,4.0347,-1.4815,3.5115,-1.7599,-3.7087,-1.9137
1543463739,-2.8286,-1.5244,4.0345,-1.4815,3.5116,-1.7602,-3.7084,-1.914
1543463740,-2.8284,-1.5242,4.0345,-1.4813,3.5113,-1.7603,-3.7083,-1.9142
1543463741,-2.8295,-1.5244,4.0341,-1.4813,3.5125,-1.7604,-3.708,-1.9143
1543463742,-2.8322,-1.5242,4.032,-1.4811,3.5152,-1.7605,-3.7059,-1.9143
1543463743,-2.8343,-1.5242,4.0302,-1.4812,3.5176,-1.7604,-3.7042,-1.914
1543463744,-2.8337,-1.5243,4.0314,-1.4811,3.517,-1.7604,-3.7054,-1.9141
1543463745,-2.8304,-1.5247,4.035,-1.4805,3.5136,-1.7599,-3.7088,-1.915
1543463746,-2.8283,-1.5245,4.0361,-1.48,3.5113,-1.7601,-3.71,-1.9153
1543463747,-2.8278,-1.5243,4.0364,-1.4797,3.511,-1.7603,-3.7103,-1.9157
1543463748,-2.8276,-1.5243,4.0372,-1.4796,3.5108,-1.7603,-3.7112,-1.916
1543463749,-2.8263,-1.5244,4.0382,-1.48,3.5092,-1.7602,-3.7122,-1.9153
1543463750,-2.826,-1.5247,4.0382,-1.4798,3.509,-1.7599,-3.7122,-1.9155
1543463751,-2.8272,-1.5246,4.0373,-1.4793,3.5103,-1.76,-3.7112,-1.916
1543463752,-2.8277,-1.5247,4.0368,-1.479,3.5109,-1.7598,-3.7106,-1.9165
1543463753,-2.8278,-1.5245,4.0366,-1.4789,3.5109,-1.76,-3.7103,-1.9165
1543463754,-2.8278,-1.5246,4.0367,-1.4794,3.511,-1.76,-3.7105,-1.916
1543463755,-2.8278,-1.5247,4.0369,-1.4795,3.5111,-1.7597,-3.7108,-1.9158
1543463756,-2.828,-1.5245,4.0369,-1.4801,3.5112,-1.7598,-3.7109,-1.9153
1543463757,-2.8283,-1.5246,4.0373,-1.4801,3.5112,-1.7598,-3.711,-1.9153
1543463758,-2.8284,-1.5245,4.0369,-1.4804,3.5114,-1.7601,-3.7106,-1.9151
1543463759,-2.8292,-1.5243,4.036,-1.4807,3.5122,-1.7601,-3.7097,-1.9149
1543463760,-2.8292,-1.5245,4.0358,-1.4807,3.5123,-1.7598,-3.7095,-1.9149
1543463761,-2.829,-1.5248,4.0365,-1.4808,3.5121,-1.7596,-3.7103,-1.9147
1543463762,-2.8288,-1.5249,4.0368,-1.4809,3.5118,-1.7595,-3.7104,-1.9145
1543463763,-2.8288,-1.5249,4.0372,-1.4811,3.5117,-1.7595,-3.7109,-1.9143
1543463764,-2.8292,-1.525,4.0366,-1.4807,3.5121,-1.7594,-3.7105,-1.9146
1543463765,-2.8293,-1.5248,4.0349,-1.4804,3.5124,-1.7596,-3.7088,-1.9149
1543463766,-2.8293,-1.5246,4.0348,-1.4798,3.5124,-1.7596,-3.7087,-1.9154
1543463767,-2.829,-1.525,4.0356,-1.4799,3.5121,-1.7593,-3.7092,-1.9155
1543463768,-2.829,-1.5251,4.0359,-1.4805,3.5121,-1.7592,-3.7097,-1.9148
1543463769,-2.8287,-1.5249,4.0362,-1.4807,3.5116,-1.7593,-3.7101,-1.9145
1543463770,-2.8284,-1.5247,4.0363,-1.4802,3.5115,-1.7594,-3.7102,-1.9149
1543463771,-2.8288,-1.525,4.0362,-1.4797,3.512,-1.7593,-3.7101,-1.9156
1543463772,-2.8288,-1.5248,4.0362,-1.4792,3.5118,-1.7594,-3.7102,-1.916
1543463773,-2.8285,-1.5246,4.0364,-1.4788,3.5116,-1.7596,-3.7101,-1.9165
1543463774,-2.8285,-1.5247,4.0363,-1.4789,3.5116,-1.7595,-3.7101,-1.9165
