Timestamp,B1_H_L,B1_H_R,B1_V_L,B1_V_R,B2_H_L,B2_H_R,B2_V_L,B2_V_R
1440462859,-0.303226,0.0768878,0.756448,0.1734,-0.644062,-0.300785,-0.0254907,-0.25869
1440462864,-0.599606,0.313221,0.653657,-0.151569,-0.459504,-1.41609,0.0695333,-0.525509
1440462869,-0.607021,0.36521,1.52378,0.749804,-0.786187,-1.03473,0.389618,-0.293895
1440462874,-0.09876,1.0139,0.951996,-0.497346,-0.360263,-1.92543,0.406886,-0.429341
1440462879,-0.133248,0.875457,0.630625,-0.846905,-0.0635831,-1.6481,0.237237,-0.0318192
1440462884,-0.065389,0.873306,0.496133,-1.25429,-0.612025,-1.80267,0.15283,-0.302474
1440462889,0.164258,0.427958,1.26924,-1.75109,-1.01077,-1.69999,-0.491872,-0.603693
1440462894,-5.33576,-3.9445,1.06228,-2.27421,3.80929,2.64665,0.200194,0.120873
1440462899,-5.15887,-4.29641,0.079919,-2.16448,4.29418,2.11144,0.277829,0.269502
1440462904,-6.6068,-6.02654,0.313094,-2.65094,4.79997,3.04483,0.742393,0.643694
1440462909,-17.0297,-15.1646,-0.938672,-3.68924,13.146,10.1669,0.570235,0.0160871
1440462914,-16.8907,-14.8762,0.326546,-4.12848,13.0254,10.2337,0.823753,0.188431
1440462919,-20.4026,-18.8778,0.990667,-4.47207,16.1707,12.8436,1.22062,0.781308
1440462924,-23.2159,-21.1183,0.420462,-5.31847,17.6587,13.858,1.40438,1.4314
1440462929,-22.5508,-20.8345,1.7206,-5.35111,16.8848,13.8234,1.57082,2.20026
1440462934,-22.6126,-21.4646,1.46524,-6.3452,17.0889,14.1108,1.69704,1.62996
1440462939,-22.4209,-21.4168,1.35131,-5.88794,16.4944,13.7913,1.73029,0.544721
1440462944,-22.2099,-21.3377,0.524838,-6.02386,16.5313,13.4693,1.03749,0.681245
1440462949,-23.0972,-21.6465,0.89623,-6.28733,16.5641,13.2243,1.91016,1.26996
1440462954,-22.6553,-22.2229,-0.317889,-6.42018,16.6402,13.45,-3.76019,-3.55911
1440462959,-22.72,-21.7085,0.37593,-6.93309,16.0307,13.1839,-4.12767,-3.50049
